Food code,Food,Category,Type,Calories (kcal/100g),Protein (g),Carbohydrate (g),Fat (g),Fiber (g),Sugars (g),Vitamin A (mcg),Vitamin B-6 (mg),Vitamin B-12 (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg)
11411100,"Yogurt, whole milk, plain",Yogurt,Food,61,3.47,4.66,3.25,0.0,4.66,27,0.032,0.37,0.5,1.2,0.06
11411200,"Yogurt, low fat milk, plain",Yogurt,Food,63,5.25,7.04,1.55,0.0,7.04,14,0.049,0.56,0.8,1.2,0.03
11411300,"Yogurt, nonfat milk, plain",Yogurt,Food,56,5.73,7.68,0.18,0.0,7.68,2,0.053,0.61,0.9,1.2,0.0
11411400,"Yogurt, Greek, whole milk, plain",Yogurt,Food,97,9.0,3.98,5.0,0.0,4.0,2,0.063,0.75,0.0,0.0,0.01
11411410,"Yogurt, Greek, low fat milk, plain",Yogurt,Food,73,9.95,3.94,1.92,0.0,3.56,90,0.055,0.52,0.8,0.0,0.04
11411420,"Yogurt, Greek, nonfat milk, plain",Yogurt,Food,61,10.3,3.64,0.37,0.0,3.27,1,0.064,0.7,0.0,0.0,0.01
11431000,"Yogurt, whole milk, fruit",Yogurt,Food,87,3.1,12.36,2.87,0.1,9.92,24,0.031,0.33,1.5,1.2,0.07
11432000,"Yogurt, low fat milk, fruit",Yogurt,Food,89,4.66,14.46,1.37,0.1,12.01,12,0.046,0.49,1.8,1.2,0.04
11433000,"Yogurt, nonfat milk, fruit",Yogurt,Food,83,5.09,15.02,0.17,0.1,12.58,2,0.049,0.54,1.8,1.2,0.01
11434000,"Yogurt, Greek, whole milk, fruit",Yogurt,Food,106,7.33,12.29,3.0,0.0,12.0,46,0.049,0.5,0.0,0.9,0.07
11434010,"Yogurt, Greek, low fat milk, fruit",Yogurt,Food,105,8.17,12.29,2.57,1.0,11.23,31,0.049,0.5,0.7,0.9,0.02
11434020,"Yogurt, Greek, nonfat milk, fruit",Yogurt,Food,83,8.06,12.2,0.15,0.6,11.5,0,0.05,0.45,0.2,0.9,0.02
11435100,"Yogurt, Greek, with oats",Yogurt,Food,160,8.9,22.38,4.29,1.9,12.07,88,0.077,0.53,0.1,0.7,0.24
11436000,"Yogurt, liquid",Yogurt,Food,72,3.71,11.81,1.09,0.1,9.78,10,0.036000000000000004,0.39,1.4,1.2,0.03
11446000,"Yogurt parfait, low fat, with fruit",Yogurt,Food,84,3.36,15.86,1.01,1.1,11.68,30,0.233,0.88,14.3,1.2,0.25
14710200,"Beer cheese soup, made with milk",Soups,Food,192,6.19,6.52,15.43,0.3,0.8,182,0.037000000000000005,0.26,0.3,0.3,0.45
26109120,"Cod, baked or broiled, made with oil",Fish,Food,118,18.67,0.1,4.28,0.0,0.04,2,0.129,2.18,0.5,0.6,1.1
26109121,"Cod, baked or broiled, made with butter",Fish,Food,112,18.7,0.1,3.56,0.0,0.04,28,0.129,2.18,0.5,0.6,0.75
26109122,"Cod, baked or broiled, made with margarine",Fish,Food,106,18.68,0.13,2.96,0.0,0.04,33,0.236,2.18,0.5,0.8,1.34
26109123,"Cod, baked or broiled, no added fat",Fish,Food,87,19.24,0.1,0.52,0.0,0.04,2,0.133,2.24,0.5,0.6,0.68
26109124,"Cod, baked or broiled, made with cooking spray",Fish,Food,91,19.16,0.2,0.91,0.0,0.04,2,0.133,2.24,0.5,0.6,0.68
26109132,"Cod, coated, baked or broiled, made with margarine",Fish,Food,165,16.55,12.56,4.86,0.6,1.1,56,0.278,1.73,0.0,0.8,1.56
26109133,"Cod, coated, baked or broiled, no added fat",Fish,Food,137,17.32,13.1,1.16,0.6,1.15,9,0.121,1.81,0.0,0.6,0.54
26109134,"Cod, coated, baked or broiled, made with cooking spray",Fish,Food,140,17.27,13.14,1.46,0.6,1.14,9,0.121,1.8,0.0,0.6,0.54
26109143,"Cod, coated, fried, no added fat",Fish,Food,148,18.87,11.6,2.31,0.7,1.03,19,0.141,1.93,0.0,0.7,0.67
26109144,"Cod, coated, fried, made with cooking spray",Fish,Food,151,18.81,11.64,2.62,0.7,1.03,19,0.141,1.92,0.0,0.7,0.67
26109160,"Cod, steamed or poached",Fish,Food,87,19.2,0.0,0.52,0.0,0.0,2,0.118,2.12,0.0,0.6,0.68
26109180,"Cod, dried, salted, salt removed in water",Fish,Food,85,18.73,0.0,0.5,0.0,0.0,2,0.109,1.96,0.0,0.6,0.67
26109190,"Cod, smoked",Fish,Food,108,23.91,0.0,0.64,0.0,0.0,3,0.165,2.79,0.0,0.8,0.84
26119100,"Herring, raw",Fish,Food,158,17.96,0.0,9.04,0.0,0.0,28,0.302,13.67,0.7,4.2,1.07
26125100,"Ocean perch, raw",Fish,Food,79,15.31,0.0,1.54,0.0,0.0,12,0.073,1.5,0.0,1.2,0.76
26125120,"Ocean perch, baked or broiled, fat added",Fish,Food,130,18.72,0.1,5.66,0.0,0.04,13,0.081,1.65,0.5,1.5,1.37
26125121,"Ocean perch, baked or broiled, no added fat",Fish,Food,100,19.29,0.1,1.94,0.0,0.04,14,0.083,1.7,0.5,1.5,0.96
26125131,"Ocean perch, coated, baked or broiled, no added fat",Fish,Food,147,17.36,13.1,2.27,0.6,1.15,18,0.08199999999999999,1.39,0.0,1.3,0.76
26125160,"Ocean perch, steamed or poached",Fish,Food,99,19.25,0.0,1.94,0.0,0.0,12,0.073,1.6,0.0,1.5,0.96
26127120,"Perch, baked or broiled, made with oil",Fish,Food,145,23.71,0.1,4.9,0.0,0.04,10,0.133,2.09,2.2,3.7,0.69
26127121,"Perch, baked or broiled, made with butter",Fish,Food,139,23.74,0.1,4.19,0.0,0.04,36,0.133,2.1,2.2,3.7,0.33
26127122,"Perch, baked or broiled, made with margarine",Fish,Food,133,23.71,0.13,3.58,0.0,0.04,41,0.239,2.09,2.2,3.8,0.93
26127123,"Perch, baked or broiled, no added fat",Fish,Food,115,24.42,0.1,1.16,0.0,0.04,10,0.13699999999999998,2.15,2.2,3.8,0.25
26127124,"Perch, baked or broiled, made with cooking spray",Fish,Food,118,24.33,0.2,1.55,0.0,0.04,10,0.136,2.14,2.2,3.8,0.25
26127133,"Perch, coated, baked or broiled, no added fat",Fish,Food,159,21.34,13.1,1.66,0.6,1.15,16,0.124,1.74,1.3,3.1,0.21
26127134,"Perch, coated, baked or broiled, made with cooking spray",Fish,Food,161,21.28,13.14,1.96,0.6,1.14,16,0.123,1.73,1.3,3.1,0.21
26127160,"Perch, steamed or poached",Fish,Food,114,24.38,0.0,1.16,0.0,0.0,9,0.121,2.03,1.6,3.8,0.25
26137100,"Salmon, raw",Fish,Food,127,20.5,0.0,4.4,0.0,0.0,35,0.611,4.15,0.0,10.9,0.4
26137123,"Salmon, baked or broiled, no added fat",Fish,Food,160,25.82,0.1,5.54,0.0,0.04,40,0.693,4.7,0.5,13.7,0.51
26137124,"Salmon, baked or broiled, made with cooking spray",Fish,Food,164,25.72,0.2,5.92,0.0,0.04,40,0.69,4.69,0.5,13.7,0.5
26137160,"Salmon, steamed or poached",Fish,Food,160,25.78,0.0,5.53,0.0,0.0,35,0.615,4.44,0.0,13.7,0.5
26137180,"Salmon, canned",Fish,Food,137,20.55,0.0,5.48,0.0,0.0,25,0.268,4.62,0.0,15.0,0.97
26137190,"Salmon, smoked",Fish,Food,117,18.28,0.0,4.32,0.0,0.0,26,0.278,3.26,0.0,17.1,1.35
26153100,"Tuna, fresh, raw",Fish,Food,109,24.4,0.0,0.49,0.0,0.0,18,0.933,2.08,0.0,1.7,0.24
26153120,"Tuna, fresh, baked or broiled, fat added",Fish,Food,167,29.83,0.1,4.38,0.0,0.04,20,1.027,2.29,0.5,2.1,0.74
26153122,"Tuna, fresh, baked or broiled, no added fat",Fish,Food,138,30.73,0.1,0.62,0.0,0.04,20,1.058,2.36,0.5,2.1,0.3
26153160,"Tuna, fresh, steamed or poached",Fish,Food,137,30.68,0.0,0.62,0.0,0.0,18,0.939,2.22,0.0,2.1,0.3
26155190,"Tuna, canned, water pack",Fish,Food,90,19.0,0.08,0.94,0.0,0.0,17,0.32,2.57,0.0,1.2,0.33
26205160,"Octopus, steamed",Shellfish,Food,163,29.62,4.37,2.07,0.0,0.0,89,0.644,35.76,7.9,0.0,1.19
26205180,"Octopus, dried, boiled",Shellfish,Food,163,29.69,4.38,2.07,0.0,0.0,81,0.5479999999999999,21.5,6.0,0.0,1.2
26205190,"Octopus, smoked",Shellfish,Food,164,29.82,4.4,2.08,0.0,0.0,76,0.684,38.0,9.5,0.0,2.4
26209100,"Roe, herring",Fish,Food,143,22.32,1.5,6.42,0.0,0.0,81,0.152,8.0,13.6,12.1,7.0
26213160,"Squid, steamed or boiled",Shellfish,Food,183,31.02,6.13,2.75,0.0,0.0,18,0.1,2.33,7.5,0.0,2.39
26213180,"Squid, pickled",Shellfish,Food,93,14.93,2.96,1.32,0.0,0.01,9,0.048,1.18,3.6,0.0,1.15
26303140,"Clams, coated, fried",Shellfish,Food,226,16.09,13.37,11.56,0.6,0.91,91,0.039,8.61,0.0,0.2,1.78
26303160,"Clams, steamed or boiled",Shellfish,Food,171,29.21,7.11,1.91,0.0,0.0,161,0.018000000000000002,20.22,0.0,0.0,1.35
26303190,"Clams, smoked, in oil",Shellfish,Food,192,16.64,4.05,11.82,0.0,0.0,102,0.011,12.79,0.0,0.0,1.43
26305160,"Crab, hard shell, steamed",Shellfish,Food,82,17.76,0.0,0.74,0.0,0.0,1,0.155,3.31,3.3,0.0,1.83
26307140,"Crab, soft shell, coated, fried",Shellfish,Food,223,18.93,10.21,11.36,0.6,0.91,16,0.155,2.63,2.3,0.2,2.8
26309140,"Crayfish, coated, fried",Shellfish,Food,218,17.24,10.21,11.55,0.6,0.91,29,0.117,1.63,0.8,0.2,3.7
26309160,"Crayfish, boiled or steamed",Shellfish,Food,81,16.66,0.0,1.19,0.0,0.0,15,0.076,2.14,0.9,0.0,1.49
26311140,"Lobster, coated, fried",Shellfish,Food,218,17.72,10.21,11.37,0.6,0.91,16,0.114,1.06,0.0,0.2,1.94
26311160,"Lobster, steamed or boiled",Shellfish,Food,88,18.88,0.0,0.85,0.0,0.0,1,0.1,0.85,0.0,0.0,0.99
26313160,"Mussels, steamed or poached",Shellfish,Food,171,23.7,7.35,4.46,0.0,0.0,86,0.09,21.5,12.7,0.0,1.1
26315130,"Oysters, steamed",Shellfish,Food,102,11.37,5.42,3.4,0.0,1.24,23,0.056,15.68,0.0,0.0,1.69
26315140,"Oysters, coated, fried",Shellfish,Food,195,8.16,12.62,12.22,0.6,1.46,27,0.056,6.7,0.0,0.2,1.92
26315190,"Oysters, smoked",Shellfish,Food,82,9.2,4.38,2.76,0.0,1.0,20,0.047,14.1,0.0,0.0,1.37
26317130,"Scallops, steamed or boiled",Shellfish,Food,137,24.01,6.33,0.98,0.0,0.0,2,0.131,2.53,0.0,0.0,0.0
26317140,"Scallops, coated, fried",Shellfish,Food,211,13.78,13.03,11.14,0.6,0.91,16,0.08900000000000001,1.18,0.0,0.2,1.17
26319120,"Shrimp, baked or broiled, made with oil",Shellfish,Food,117,16.23,1.18,4.88,0.0,0.03,55,0.183,1.26,0.5,0.1,2.01
26319121,"Shrimp, baked or broiled, made with butter",Shellfish,Food,111,16.26,1.18,4.19,0.0,0.04,80,0.183,1.26,0.5,0.1,1.66
26319122,"Shrimp, baked or broiled, made with margarine",Shellfish,Food,106,16.23,1.21,3.6,0.0,0.03,85,0.28600000000000003,1.26,0.5,0.3,2.24
26319124,"Shrimp, baked or broiled, made with cooking spray",Shellfish,Food,91,16.65,1.31,1.62,0.0,0.04,56,0.188,1.29,0.5,0.1,1.62
26319130,"Shrimp, steamed or boiled",Shellfish,Food,91,17.37,1.16,1.29,0.0,0.0,62,0.185,0.85,0.0,0.1,1.68
26319140,"Shrimp, coated, fried, made with oil",Shellfish,Food,212,15.15,11.02,11.6,0.6,0.91,61,0.159,0.96,0.0,0.3,2.34
26319141,"Shrimp, coated, fried, made with butter",Shellfish,Food,197,15.22,11.02,9.89,0.6,0.91,123,0.16,0.97,0.0,0.3,1.49
26319142,"Shrimp, coated, fried, made with margarine",Shellfish,Food,185,15.16,11.09,8.44,0.6,0.91,135,0.414,0.96,0.0,0.6,2.92
26319144,"Shrimp, coated, fried, made with cooking spray",Shellfish,Food,149,16.72,12.24,3.14,0.7,1.0,67,0.17600000000000002,1.06,0.0,0.3,1.42
26319160,"Shrimp, coated, baked or broiled, made with oil",Shellfish,Food,179,14.62,13.02,7.24,0.6,1.07,49,0.156,1.02,0.0,0.2,1.87
26319161,"Shrimp, coated, baked or broiled, made with butter",Shellfish,Food,170,14.66,13.03,6.18,0.6,1.07,87,0.156,1.03,0.0,0.2,1.35
26319162,"Shrimp, coated, baked or broiled, made with margarine",Shellfish,Food,162,14.63,13.07,5.28,0.6,1.07,95,0.314,1.02,0.0,0.4,2.23
26319164,"Shrimp, coated, baked or broiled, made with cooking spray",Shellfish,Food,138,15.26,13.68,2.0,0.6,1.12,51,0.163,1.07,0.0,0.2,1.27
27150010,"Fish with cream or white sauce, not tuna or lobster",Seafood mixed dishes,Food,115,17.04,2.74,3.57,0.0,1.38,50,0.249,0.86,0.7,1.2,0.85
27150110,Shrimp cocktail,Shellfish,Food,122,15.37,10.76,1.48,0.6,4.09,65,0.18600000000000005,1.09,4.0,0.1,1.81
27150120,Tuna with cream or white sauce,Seafood mixed dishes,Food,105,14.42,2.81,3.64,0.0,1.38,52,0.276,1.92,0.0,1.2,0.52
27150230,Shrimp scampi,Shellfish,Food,198,19.63,1.76,12.06,0.1,0.06,83,0.219,1.42,2.3,0.1,3.42
27150410,Shrimp teriyaki,Stir-fry and soy-based sauce mixtures,Food,120,21.62,3.34,1.56,0.0,1.76,82,0.234,1.52,0.0,0.1,2.02
27151070,"Stewed codfish, no potatoes, Puerto Rican style",Seafood mixed dishes,Food,105,12.05,4.27,4.42,1.1,2.05,10,0.161,1.14,18.4,0.4,1.46
27213010,Biryani with meat,Rice mixed dishes,Food,145,8.5,12.2,6.77,1.0,1.69,16,0.136,0.47,5.6,0.1,0.25
27243100,Biryani with chicken,Rice mixed dishes,Food,103,7.15,13.57,2.36,1.1,1.87,19,0.177,0.12,6.3,0.1,0.32
27250020,"Clams, stuffed",Seafood mixed dishes,Food,200,11.87,12.94,11.08,0.9,1.57,154,0.054000000000000006,6.78,1.4,0.5,1.57
27250030,Codfish ball or cake,Seafood mixed dishes,Food,191,14.32,10.57,9.85,1.2,1.01,46,0.206,0.67,0.5,0.8,1.36
27250080,Salmon loaf,Seafood mixed dishes,Food,192,15.82,9.11,9.91,0.4,2.16,99,0.22,2.22,1.9,8.6,1.09
27250128,Shrimp and noodles with soy-based sauce,Stir-fry and soy-based sauce mixtures,Food,140,10.21,8.26,7.25,0.6,0.87,38,0.14800000000000002,0.66,2.3,0.0,1.67
27250160,Tuna cake or patty,Seafood mixed dishes,Food,209,15.34,2.63,14.88,0.2,0.51,28,0.232,1.75,0.3,1.1,1.28
27250220,Oyster fritter,Seafood mixed dishes,Food,196,6.93,5.22,16.22,0.2,0.39,80,0.086,11.99,3.1,0.2,1.68
27250270,Clams Casino,Seafood mixed dishes,Food,117,8.73,9.83,4.72,1.2,2.05,69,0.103,4.42,14.7,0.1,0.74
27250610,Tuna noodle casserole with cream or white sauce,Seafood mixed dishes,Food,168,10.12,15.4,7.18,0.7,2.14,76,0.194,1.09,0.0,0.9,0.59
27250630,Tuna noodle casserole with mushroom sauce,Seafood mixed dishes,Food,139,9.02,13.92,5.13,0.8,1.13,33,0.133,0.92,0.0,0.6,0.37
27250710,Tuna and rice with mushroom sauce,Seafood mixed dishes,Food,128,4.57,15.39,5.16,0.4,0.59,8,0.097,0.41,0.0,0.3,0.59
27251010,"Stewed salmon, Puerto Rican style",Seafood mixed dishes,Food,146,12.02,8.47,7.02,1.3,1.27,12,0.279,2.33,7.2,7.6,1.1
27350020,Paella with seafood,Rice mixed dishes,Food,142,8.03,16.42,4.77,0.8,0.92,25,0.108,1.24,9.8,0.0,0.72
27350070,Tuna pot pie,Seafood mixed dishes,Food,221,8.96,16.5,13.16,1.3,1.64,152,0.06,0.47,1.4,1.7,1.0
27350080,"Tuna noodle casserole with vegetables, cream or white sauce",Seafood mixed dishes,Food,147,9.01,14.04,6.12,0.8,2.35,65,0.188,0.93,2.7,0.8,0.51
27350410,Tuna noodle casserole with vegetables and mushroom sauce,Seafood mixed dishes,Food,124,7.97,12.97,4.43,1.0,1.47,29,0.134,0.78,2.7,0.5,0.33
27351010,"Codfish with starchy vegetables, Puerto Rican style",Seafood mixed dishes,Food,134,3.53,18.45,5.43,2.7,2.94,134,0.2,0.09,5.0,0.1,1.93
27351030,"Stewed codfish, Puerto Rican style",Seafood mixed dishes,Food,114,10.87,8.48,4.02,1.3,1.69,8,0.199,0.99,18.4,0.3,1.27
27351040,"Biscayne codfish, Puerto Rican style",Seafood mixed dishes,Food,188,9.2,11.08,12.24,1.9,1.85,12,0.262,0.34,11.9,0.4,2.32
27363100,Jambalaya with meat and rice,Rice mixed dishes,Food,162,13.77,8.64,7.97,0.7,0.94,8,0.23,0.32,6.4,0.2,0.68
27415130,Szechuan beef,Stir-fry and soy-based sauce mixtures,Food,105,7.08,7.29,5.3,1.5,2.41,63,0.161,0.48,11.6,0.1,0.82
27415140,Hunan beef,Stir-fry and soy-based sauce mixtures,Food,105,7.08,7.29,5.3,1.5,2.41,63,0.161,0.48,11.6,0.1,0.82
27416400,Stir fried beef and vegetables in soy sauce,Stir-fry and soy-based sauce mixtures,Food,93,10.85,4.25,3.68,0.9,2.6,23,0.251,0.46,3.2,0.3,0.37
27445180,Moo Goo Gai Pan,Stir-fry and soy-based sauce mixtures,Food,66,7.15,4.69,2.43,1.2,2.01,10,0.242,0.04,6.5,0.0,0.65
27445220,Kung pao chicken,Stir-fry and soy-based sauce mixtures,Food,129,9.76,6.87,6.98,1.5,3.03,65,0.243,0.11,7.1,0.0,1.02
27450010,Crab salad,Seafood mixed dishes,Food,187,9.44,1.19,15.89,0.4,0.57,9,0.1,1.71,4.6,0.0,1.68
27450020,Lobster salad,Seafood mixed dishes,Food,186,10.33,1.15,15.4,0.4,0.55,8,0.083,0.77,2.8,0.0,1.25
27450030,Salmon salad,Seafood mixed dishes,Food,212,10.86,2.66,17.36,0.4,1.98,20,0.17800000000000002,2.37,0.7,7.4,1.07
27450060,"Tuna salad, made with mayonnaise",Seafood mixed dishes,Food,196,10.12,2.82,15.85,0.4,2.07,20,0.183,1.34,0.7,0.7,0.93
27450061,"Tuna salad, made with light mayonnaise",Seafood mixed dishes,Food,108,9.82,4.67,5.4,0.4,2.7,19,0.179,1.29,0.7,0.6,0.74
27450062,"Tuna salad, made with mayonnaise-type salad dressing",Seafood mixed dishes,Food,110,9.92,5.84,5.19,0.4,4.09,18,0.181,1.31,0.7,0.6,0.59
27450063,"Tuna salad, made with light mayonnaise-type salad dressing",Seafood mixed dishes,Food,108,9.82,4.67,5.4,0.4,2.7,19,0.179,1.29,0.7,0.6,0.74
27450064,"Tuna salad, made with creamy dressing",Seafood mixed dishes,Food,150,10.03,3.94,10.29,0.4,2.95,20,0.185,1.33,0.7,0.6,0.74
27450065,"Tuna salad, made with light creamy dressing",Seafood mixed dishes,Food,80,9.86,7.31,1.16,0.4,3.14,17,0.179,1.27,0.7,0.6,0.41
27450066,"Tuna salad, made with Italian dressing",Seafood mixed dishes,Food,108,9.87,5.27,5.09,0.4,4.25,17,0.193,1.3,0.8,0.6,0.73
27450067,"Tuna salad, made with light Italian dressing",Seafood mixed dishes,Food,78,9.82,4.84,2.0,0.4,3.93,17,0.19,1.29,0.7,0.6,1.2
27450068,"Tuna salad, made with any type of fat free dressing",Seafood mixed dishes,Food,74,9.64,6.18,1.15,0.8,4.26,17,0.17600000000000002,1.27,0.7,0.6,0.26
27450070,Shrimp salad,Seafood mixed dishes,Food,198,10.47,1.22,16.6,0.4,0.58,8,0.027000000000000003,0.39,5.1,0.0,1.31
27450080,Seafood salad,Seafood mixed dishes,Food,190,10.08,1.18,15.95,0.4,0.56,9,0.07,0.96,4.2,0.0,1.41
27450090,Tuna salad with cheese,Seafood mixed dishes,Food,216,11.37,2.78,17.58,0.4,1.91,49,0.172,1.32,0.7,0.7,0.92
27450100,Tuna salad with egg,Seafood mixed dishes,Food,192,10.33,2.67,15.4,0.4,1.99,31,0.17800000000000002,1.32,0.7,0.8,0.94
27450130,Crab salad made with imitation crab,Seafood mixed dishes,Food,197,4.12,8.58,16.28,0.6,3.65,9,0.085,0.3,3.1,0.0,0.86
27450250,Oysters Rockefeller,Seafood mixed dishes,Food,129,7.65,9.27,7.07,1.9,1.2,275,0.119,4.2,1.9,0.0,1.93
27450310,Lomi salmon,Seafood mixed dishes,Food,60,7.55,3.31,1.86,1.0,1.82,30,0.158,1.54,8.9,4.8,0.53
27451060,"Octopus salad, Puerto Rican style",Seafood mixed dishes,Food,168,9.67,5.56,11.95,1.0,2.13,38,0.237,9.69,8.9,0.0,2.52
27451070,"Codfish salad, Puerto Rican style, Serenata",Seafood mixed dishes,Food,180,6.61,2.81,15.94,0.7,1.51,17,0.12,0.28,5.6,0.3,2.67
27510700,Meatball and spaghetti sauce submarine sandwich,Sandwiches,Food,219,9.77,26.01,8.45,2.1,4.98,15,0.132,0.55,0.4,0.0,0.79
27511010,Pastrami sandwich,Sandwiches,Food,167,12.46,19.87,3.81,1.1,2.4,2,0.131,0.74,0.6,0.0,0.16
27515000,Steak submarine sandwich with lettuce and tomato,Sandwiches,Food,202,15.83,20.31,5.95,0.9,3.27,6,0.199,1.28,2.1,0.1,0.23
27550200,"Fish sandwich, from school cafeteria",Sandwiches,Food,224,14.61,29.5,5.04,3.6,2.94,10,0.232,0.71,0.0,0.3,0.79
27550420,"Fish sandwich, grilled",Sandwiches,Food,172,15.98,21.26,1.98,0.8,3.1,11,0.211,1.28,0.9,0.4,0.44
27550720,"Tuna salad sandwich, on bread",Sandwiches,Food,220,9.89,18.28,11.76,1.0,3.16,14,0.153,0.9,0.5,0.4,0.7
27550740,"Tuna salad sandwich, on bun",Sandwiches,Food,220,9.89,18.28,11.76,1.0,3.16,14,0.153,0.9,0.5,0.4,0.7
27550800,Seafood salad sandwich,Sandwiches,Food,217,9.86,17.19,11.83,1.0,2.16,6,0.077,0.64,2.8,0.0,1.01
27570310,"Hors d'oeuvres, with spread",Sandwiches,Food,209,11.57,28.69,4.99,1.3,3.94,17,0.151,0.81,0.0,0.5,0.43
28310110,"Beef, broth, bouillon, or consomme",Soups,Food,7,1.14,0.04,0.22,0.0,0.0,0,0.01,0.07,0.0,0.0,0.0
28310150,Oxtail soup,Soups,Food,84,8.4,1.35,4.86,0.3,0.42,35,0.093,0.65,1.5,0.1,0.14
28310330,Pho,Soups,Food,88,6.15,10.41,2.26,0.6,0.77,4,0.065,0.4,1.5,0.0,0.17
28311010,Pepperpot soup,Soups,Food,48,3.48,3.1,2.49,0.3,0.79,17,0.077,0.14,4.4,0.0,0.1
28315160,Italian Wedding Soup,Soups,Food,70,4.86,6.53,2.68,0.8,1.53,64,0.087,0.32,2.8,0.1,0.23
28340110,"Chicken or turkey broth, bouillon, or consomme",Soups,Food,6,0.64,0.44,0.21,0.0,0.43,0,0.0,0.02,0.0,0.0,0.04
28340550,Sweet and sour soup,Soups,Food,67,5.66,4.65,2.98,0.5,1.19,11,0.09,0.11,0.8,0.3,0.15
28340610,"Chicken or turkey vegetable soup, stew type",Soups,Food,71,5.06,6.88,2.64,0.6,0.87,27,0.02,0.1,0.5,0.0,0.13
28340700,Bird's nest soup,Soups,Food,46,5.39,3.03,1.27,0.0,0.29,1,0.068,0.11,0.0,0.1,0.1
28340750,Hot and sour soup,Soups,Food,39,2.58,4.35,1.21,0.5,0.42,9,0.064,0.1,0.0,0.1,0.39
28350050,Fish chowder,Soups,Food,112,8.07,6.1,6.21,0.8,0.92,62,0.14800000000000002,0.94,5.2,0.4,0.41
28350120,"Crab soup, tomato-base",Soups,Food,35,4.21,4.22,0.35,1.2,1.31,44,0.083,0.58,5.0,0.0,0.6
28350220,"Clam chowder, Manhattan",Soups,Food,56,3.02,7.84,1.41,1.2,1.67,70,0.11,3.3,5.1,0.0,0.67
28350310,Turtle and vegetable soup,Soups,Food,42,4.75,3.71,0.95,0.8,0.98,36,0.071,0.21,4.0,0.0,0.25
28355250,Lobster bisque,Soups,Food,52,5.23,1.7,2.57,0.2,1.02,44,0.048,0.37,1.3,0.1,0.39
28355310,Oyster stew,Soups,Food,79,4.25,4.24,5.08,0.0,3.52,70,0.046,3.01,0.0,0.7,0.4
